ID;SEQ;Question;Title
Q1;1;Entendez-vous des bruits en l'absence d'une source sonore ?;Perception de bruits
Q2;2;Avez-vous du sang de couleur café dans le vomi ? ;Sang dans le vomi
Q3;3;Avez-vous besoin d'uriner fréquemment ?;Envie fréquente d'uriner
Q4;4;Avez-vous des bleus derrière l’oreille ou autour des yeux ?;Bleus sur le visage
Q5;5;Avez-vous ces derniers temps une humeur changeante ou vous sentez-vous irritable, anxieux(se), coléreux(se) ?;Troubles émotionnelles
Q6;6;Ressentez-vous de fortes douleurs d'un côté de la tête ou au-dessous de l'œil ?;Douleurs à la tête
Q7;7;Votre mollet est-il chaud ?;Mollet chaud
Q8;8;Avez-vous des problèmes au niveau de la compréhension et/ou de l'expression ?;Troubles d'élocution
Q9;9;Avez-vous une intolérance à la lumière ou aux mouvements ?;Sensibilité à la lumière
Q10;10;Avez-vous des pertes de sang, même peu importantes, en dehors des règles ?;Pertes vaginales inhabituelles
Q11;11;Sentez-vous une légère paralysie sur une des parties du corps (par exemple : visage, langue, bras ...) ?;Légère paralysie
Q12;12;Avez-vous une perte de vision temporaire d'un ou des deux yeux ?;Perte de vision temporaire
Q13;13;Avez-vous constaté une réduction de votre taille de 4 cm ou plus ?;Réduction de la taille
Q14;14;Constatez-vous des lésions sur les mains et les pieds, qui ressemblent à une réaction allergique ?;Lésions allergiques sur la peau
Q15;15;Avez-vous un jugement amoindri dans la prise de décision, surtout en rapport avec l'argent ?;Jugement amoindri
Q16;16;Avez-vous des difficultés à exécuter des tâches familières ? (conduire en restant sur la voie,  préparer un repas, faire le ménage, etc. );Tâches familières
Q17;17;Êtes-vous confus ou vous sentez-vous angoissé(e), déprimé(e) ou anxieux(se) ?;Confusion et humeur changeante
Q18;18;Rangez-vous des objets dans des endroits insolites et sans pouvoir les retrouver ?;Perte d'objets
Q19;19;Avez-vous des difficultés à écrire, à boutonner votre veste et à effectuer des gestes quotidiens en général ?;Gestes quotidiens 
Q20;20;Avez-vous des difficultés à lire, à évaluer les distances ou à déterminer les couleurs et les contrastes ?;Troubles de la perception
Q21;21;Avez-vous des difficultés à vous exprimer à l'oral ou à l'écrit ? (difficulté à poursuivre une discussion, avoir du mal à trouver le mot juste ... );Troubles de communication
Q22;22;Avez-vous des pertes de mémoire au quotidien ? (demander la même information plusieurs fois, oublier les noms des proches ...);Troubles de mémoire
Q23;23;Evitez-vous tout contact social en raison de pertes de mémoire ?;Contact social
Q24;24;Avez-vous constaté une confusion des dates ou de l'endroit où vous vous trouvez ?;Confusion du temps et du lieu
Q25;25;Avez-vous des difficultés à reconnaître les objets et/ou vos proches ?;Reconnaître ses proches
Q26;26;Avez-vous des difficultés à résoudre des problèmes avec des chiffres ? (assurer les factures mensuelles, payer au supermarché, etc.);Difficulté avec les chiffres
Q27;27;Avez-vous une urine foncée (de la couleur du thé) ?;Urines colorées
Q28;28;Avez-vous un ulcère à la partie interne de la cheville ou de la jambe en général ?;Ulcères des jambes
Q29;29;Avez-vous perdu ou pris du poids significativement ?;Changement du poids
Q30;30;Avez-vous perdu du poids significativement ?;Perte de poids
Q31;31;Avez-vous de l'acné ces derniers temps ?;Poussé d'acné
Q32;32;Êtes-vous constipé(e) ? ;Constipation
Q33;33;Avez-vous la sensation de poids et/ou de serrement dans la poitrine ?;Oppression sur la poitrine
Q34;34;Ressentez-vous de la fatigue ou de la somnolence ?;Fatigue et somnolence
